Setor; Segmento; Categorias; Ano; Total; Janeiro; Fevereiro; Março; Abril; Maio; Junho; Julho; Agosto; Setembro; Outubro; Novembro; Dezembro
Corcovado; Rodoviário; Pagantes; 2016; 115040; 163568; 128752; 98637; 77579; 66316; 50907; 88751; 112544; 75611; 80299; 71932; 100144
Estrada Redentor; Sapucaia; Visitantes; 2016; 123262; 8801; 12421; 8563; 10138; 10613; 8548; 10493; 9855; 9925; 10096; 11294; 12515
Parque Lage; Trilha; Visitantes; 2016; 34902; 2761; 2939; 2344; 2730; 2065; 2418; 3257; 5248; 2931; 3177; 2256; 2776
Pedra Bonita; Guarita; Visitantes; 2016; 117640; 18106; 16333; 17120; 6306; 13171; 2703; 18861; 12200; 6072; ; 6768; 
Pedra da Gávea; Trilha; Visitantes; 2016; 29745; 2532; 2581; 1709; 3168; 2980; 1679; 2008; 2347; 2522; 2099; 2620; 3500
Setor Floresta; Floresta da Tijuca; Visitantes; 2016; 360533; 37350; 43806; 30583; 42417; 30846; 23264; 27834; 24416; 25298; 19808; 27111; 27800
Vista Chinesa; Macacos; Visitantes; 2016; 347396; 22192; 41201; 29292; 28018; 28172; 24659; 29689; 28569; 27009; 28158; 30231; 30206
Vista Chinesa; Passo de Pedra; Visitantes; 2016; 286694; 23111; 25575; 25257; 25913; 23947; 24479; 23231; 24363; 23653; 19947; 24260; 22958
Total; ; ; 2017; 3294300; 411486; 311041; 296176; 255181; 241726; 232286; 311940; 222743; 279580; 236820; 258185; 237136
Corcovado; Ferroviário; Gratuidades; 2017; 5079; 467; 310; 366; 472; 385; 340; 499; 359; 318; 724; 377; 462
Corcovado; Ferroviário; Guias; 2017; 15916; 1667; 1751; 1722; 1108; 852; 753; 1075; 1182; 1094; 1462; 1582; 1668
Corcovado; Ferroviário; Pagantes; 2017; 712220; 93470; 72289; 67917; 54367; 42014; 41357; 63218; 44051; 62107; 55371; 56373; 59686
Corcovado; Rodoviário; Gratuidades; 2017; 124077; 9155; 8201; 9130; 10609; 10674; 9697; 11480; 10760; 10571; 11522; 11200; 11078
Corcovado; Rodoviário; Guias; 2017; 41333; 4980; 4062; 3759; 3037; 2523; 2418; 3239; 2831; 3228; 3435; 3682; 4139
Corcovado; Rodoviário; Pagantes; 2017; 1125349; 172412; 117603; 101899; 88715; 66037; 62791; 97026; 65903; 95170; 81345; 81230; 95218
Estrada Redentor; Sapucaia; Visitantes; 2017; 103669; 11764; 9138; 10912; 8962; 8906; 7358; 9482; 9436; 9257; 9214; 9240; 
Parque Lage; Trilha; Visitantes; 2017; 16772; 3528; 2236; 1713; 1752; 1993; 1163; 578; 401; 724; 723; 845; 1116
Pedra Bonita; Guarita; Visitantes; 2017; 309112; 19605; 16265; 19933; 15252; 32144; 34114; 47654; 21037; 26512; 14585; 33365; 28646
Pedra da Gávea; Trilha; Visitantes; 2017; 32738; 3568; 3461; 2732; 2750; 2408; 3506; 3550; 2345; 2187; 1983; 2225; 2023
Setor Floresta; Floresta da Tijuca; Visitantes; 2017; 286655; 33547; 24528; 28402; 19801; 20517; 24032; 24937; 20809; 27342; 19536; 21733; 21471
Vista Chinesa; Macacos; Visitantes; 2017; 305444; 31032; 30024; 27000; 27189; 27257; 23623; 29542; 28547; 27636; 28106; 25488; 
Vista Chinesa; Passo de Pedra; Visitantes; 2017; 215936; 26291; 21173; 20691; 21167; 26016; 21134; 19660; 15082; 13434; 8814; 10845; 11629
Total; ; ; 2018; 2757208; 356404; 265371; 251857; 220999; 201914; 153367; 237548; 179240; 198498; 191369; 225867; 274774
Corcovado; Ferroviário; Gratuidades; 2018; 6228; 485; 200; 356; 490; 464; 635; 642; 368; 686; 622; 714; 566
Corcovado; Ferroviário; Guias; 2018; 17663; 1898; 2050; 1854; 1293; 979; 863; 1134; 1321; 1189; 1504; 1664; 1914
Corcovado; Ferroviário; Pagantes; 2018; 652049; 87551; 69675; 64527; 48861; 40267; 33660; 53522; 41061; 40114; 50349; 56175; 66287
Corcovado; Rodoviário; Gratuidades; 2018; 6999; 1055; 345; 486; 434; 667; 313; 926; 618; 672; 609; 260; 614
Corcovado; Rodoviário; Guias; 2018; 45204; 5865; 4524; 4521; 3244; 2865; 2319; 3333; 3242; 3324; 3632; 3799; 4536
Corcovado; Rodoviário; Mitra; 2018; 14320; 675; 351; 1070; 1268; 1353; 1095; 1605; 1323; 1400; 955; 1672; 1553
Corcovado; Rodoviário; Pagantes; 2018; 997631; 164752; 107999; 97808; 67398; 53057; 44333; 82056; 65305; 71441; 67476; 78429; 97577
Estrada Redentor; Sapucaia; Ciclistas; 2018; 25981; 1740; 1853; 2496; 2303; 2455; 1612; 2165; 1853; 2554; 1679; 2126; 3145
Estrada Redentor; Sapucaia; Visitantes; 2018; 72438; 10024; 7285; 6719; 5803; 5329; 3672; 5522; 5039; 5328; 4450; 5482; 7785
Parque Lage; Trilha; Visitantes; 2018; 9400; 1641; 1681; 1447; 1558; 1611; 1462; ; ; ; ; ; 
Pedra Bonita; Guarita; Visitantes; 2018; 225117; 13677; 11513; 14696; 27957; 38166; 22406; 30267; 16128; 14314; 9644; 12576; 13773
Pedra da Gávea; Trilha; Visitantes; 2018; 30267; 1992; 2097; 3037; 2955; 2870; 1783; 3706; 1888; 3051; 1301; 2522; 3065
Setor Floresta; Floresta da Tijuca; Ciclistas; 2018; 9356; 478; 985; 692; 1026; 574; 613; 1727; 428; 658; 478; 909; 788
Setor Floresta; Floresta da Tijuca; Visitantes; 2018; 260294; 23392; 18101; 23257; 23687; 20647; 13334; 21458; 16391; 24934; 19719; 26984; 28390
Vista Chinesa; Macacos; Ciclistas; 2018; 81315; 7613; 7779; 6143; 8468; 9758; 6416; 5367; 4669; 5828; 6206; 5679; 7389
Vista Chinesa; Macacos; Visitantes; 2018; 187701; 23419; 22245; 14976; 16787; 13879; 9570; 13413; 9556; 13367; 12591; 14976; 22922
Vista Chinesa; Passo de Pedra; Ciclistas; 2018; 46462; 5063; 3337; 3877; 3724; 3478; 3542; 3550; 3362; 3493; 3267; 4057; 5712
Vista Chinesa; Passo de Pedra; Visitantes; 2018; 68783; 5084; 3351; 3895; 3743; 3495; 5739; 7155; 6688; 6145; 6887; 7843; 8758
Total; ; ; 2019; 2959444; 414054; 251931; 291268; 220294; 185858; 230696; 271290; 214451; 163555; 244174; 206665; 265208
Corcovado; Ferroviário; Gratuidades; 2019; 35657; 497; 261; 2066; 3187; 2109; 2878; 7020; 3624; 2131; 4070; 2618; 5196
Corcovado; Ferroviário; Guias; 2019; 20504; 2080; 1974; 2278; 1996; 1033; 1046; 1349; 1601; 1343; 1669; 1987; 2148
Corcovado; Ferroviário; Pagantes; 2019; 747634; 95232; 62476; 74083; 67853; 39997; 49672; 64270; 52821; 42976; 69844; 59299; 69111
Corcovado; Rodoviário; Gratuidades; 2019; 9720; 769; 269; 747; 561; 968; 965; 705; 880; 734; 889; 1316; 917
Corcovado; Rodoviário; Guias; 2019; 57828; 5861; 5162; 5051; 2632; 3411; 3646; 5440; 5028; 4106; 5729; 5419; 6343
Corcovado; Rodoviário; Mitra; 2019; 17883; 1174; 648; 1709; 1865; 1252; 933; 1365; 1924; 1391; 1736; 2265; 1621
Corcovado; Rodoviário; Pagantes; 2019; 1051101; 154382; 106555; 104228; 53326; 61829; 72965; 94221; 69549; 61344; 91025; 79333; 102344
Estrada Redentor; Sapucaia; Ciclistas; 2019; 23275; 2818; 2087; 3623; 2172; 1993; 2952; 2949; 1837; 1701; 577; 261; 305
Estrada Redentor; Sapucaia; Visitantes; 2019; 57483; 10170; 6664; 7379; 4523; 4333; 6041; 6977; 5089; 4764; 686; 423; 434
Pedra Bonita; Guarita; Visitantes; 2019; 159204; 17986; 6769; 15074; 13879; 8668; 17031; 20032; 13482; 7350; 14915; 9954; 14064
Pedra da Gávea; Trilha; Visitantes; 2019; 34096; 3856; 2448; 2340; 2902; 2328; 3635; 3443; 2637; 1909; 3127; 1952; 3519
Setor Floresta; Floresta da Tijuca; Ciclistas; 2019; 8936; 819; 287; 1094; 702; 571; 1089; 448; 588; 443; 701; 690; 1504
Setor Floresta; Floresta da Tijuca; Visitantes; 2019; 346146; 47837; 21592; 28218; 26773; 23519; 30614; 27080; 21992; 21075; 32354; 26627; 38465
Vista Chinesa; Macacos; Ciclistas; 2019; 67705; 7494; 6164; 7392; 6995; 7249; 7872; 7507; 6539; 757; 3554; 3023; 3159
Vista Chinesa; Macacos; Visitantes; 2019; 159338; 43411; 17013; 19756; 16795; 13255; 13084; 14303; 13982; 1528; 2166; 1590; 2455
Vista Chinesa; Passo de Pedra; Ciclistas; 2019; 50731; 5156; 3477; 4893; 5053; 5596; 6618; 5126; 4434; 3334; 2236; 2246; 2562
Vista Chinesa; Passo de Pedra; Visitantes; 2019; 112203; 14512; 8085; 11337; 9080; 7747; 9655; 9055; 8444; 6669; 8896; 7662; 11061
Total; ; ; 2020; 759598; 361086; 268283; 130229; ; ; ; ; ; ; ; ; 
Corcovado; Ferroviário; Gratuidades; 2020; 7238; 7238; 3316; 1358; ; ; ; ; ; ; ; ; 
Corcovado; Ferroviário; Guias; 2020; 2149; 2149; 2521; 1092; ; ; ; ; ; ; ; ; 
